BioSample_s	InsertSize_l	LibraryLayout_s
SAMN00205533	0	SINGLE
SAMN00205558	0	SINGLE
SAMN00205559	0	SINGLE
SAMN00205560	0	SINGLE
SAMN00205561	0	SINGLE
SAMN00205562	0	SINGLE
SAMN00205563	0	SINGLE
SAMN00205564	0	SINGLE
SAMN00205564	2834	PAIRED
SAMN00205565	0	SINGLE
SAMN00205566	0	SINGLE
SAMN00205567	0	SINGLE
SAMN00205568	0	SINGLE
SAMN00205569	0	SINGLE
SAMN00205570	0	SINGLE
SAMN00205571	0	SINGLE
SAMN00205572	0	SINGLE
SAMN00205573	0	SINGLE
SAMN00205573	2729	PAIRED
SAMN00205574	0	SINGLE
SAMN00205586	0	SINGLE
SAMN00205587	0	SINGLE
SAMN00205588	0	SINGLE
SAMN00205589	0	SINGLE
SAMN00205590	0	SINGLE
SAMN00205591	0	SINGLE
SAMN00205592	0	SINGLE
SAMN00205593	0	SINGLE
SAMN00205594	0	SINGLE
SAMN00205595	0	SINGLE
SAMN00205596	0	SINGLE
SAMN01095545	0	SINGLE
SAMN01095546	0	SINGLE
SAMN01095547	0	SINGLE
SAMN01095548	0	SINGLE
SAMN01095549	0	SINGLE
SAMN01095550	0	SINGLE
